gene_callers_id	source	accession	function	e_value
AMXMAG_0088___2453	Pfam	PF00034.25	Cytochrome c	1.2e-08
AMXMAG_0088___2856	Pfam	PF00034.25	Cytochrome c	3.2e-06
AMXMAG_0088___3226	Pfam	PF14537.10	Cytochrome c3	3.4e-14
AMXMAG_0088___2668	Pfam	PF14537.10	Cytochrome c3	1.3e-13
AMXMAG_0088___2622	Pfam	PF14537.10	Cytochrome c3	6.1e-10
AMXMAG_0088___2866	Pfam	PF14537.10	Cytochrome c3	6.4e-10
AMXMAG_0088___2866	Pfam	PF02085.20	Class III cytochrome C family	4e-08
AMXMAG_0088___2668	Pfam	PF02085.20	Class III cytochrome C family	7.6e-08
AMXMAG_0088___2669	Pfam	PF02085.20	Class III cytochrome C family	4.5e-07
AMXMAG_0088___3226	Pfam	PF02085.20	Class III cytochrome C family	1.8e-06
AMXMAG_0088___2330	Pfam	PF18152.5	DAHP synthase ferredoxin-like domain	1.1e-17
AMXMAG_0088___2330	Pfam	PF00793.24	DAHP synthetase I family	6e-82
AMXMAG_0088___2347	Pfam	PF00793.24	DAHP synthetase I family	4.6e-77
AMXMAG_0088___2877	Pfam	PF00793.24	DAHP synthetase I family	8.5e-61
AMXMAG_0088___2771	Pfam	PF07478.17	D-ala D-ala ligase C-terminus	1.9e-10
AMXMAG_0088___2909	Pfam	PF01266.28	FAD dependent oxidoreductase	3.9e-09
AMXMAG_0088___2505	Pfam	PF01266.28	FAD dependent oxidoreductase	4.1e-08
AMXMAG_0088___3015	Pfam	PF05173.18	Dihydrodipicolinate reductase, C-terminus	2e-29
AMXMAG_0088___3015	Pfam	PF01113.24	Dihydrodipicolinate reductase, N-terminus	1.2e-15
AMXMAG_0088___2493	Pfam	PF01113.24	Dihydrodipicolinate reductase, N-terminus	4.7e-12
AMXMAG_0088___2493	Pfam	PF19328.3	2,4-diaminopentanoate dehydrogenase C-terminal domain	2.2e-101
AMXMAG_0088___2467	Pfam	PF00383.27	Cytidine and deoxycytidylate deaminase zinc-binding region	4.4e-25
AMXMAG_0088___2967	Pfam	PF00383.27	Cytidine and deoxycytidylate deaminase zinc-binding region	1e-17
AMXMAG_0088___3314	Pfam	PF11969.12	Scavenger mRNA decapping enzyme C-term binding	7.7e-16
AMXMAG_0088___2975	Pfam	PF21711.1	Dynactin subunit 5	3.8e-08
AMXMAG_0088___2592	Pfam	PF03606.19	C4-dicarboxylate anaerobic carrier	1.2e-95
AMXMAG_0088___3435	Pfam	PF00270.33	DEAD/DEAH box helicase	2.8e-09
AMXMAG_0088___2357	Pfam	PF00270.33	DEAD/DEAH box helicase	4e-09
AMXMAG_0088___3464	Pfam	PF00270.33	DEAD/DEAH box helicase	9.6e-09
AMXMAG_0088___2357	Pfam	PF06733.19	DEAD_2	1.7e-10
AMXMAG_0088___3341	Pfam	PF01041.21	DegT/DnrJ/EryC1/StrS aminotransferase family	4.7e-119
AMXMAG_0088___3364	Pfam	PF01041.21	DegT/DnrJ/EryC1/StrS aminotransferase family	5.4e-95
AMXMAG_0088___3273	Pfam	PF01041.21	DegT/DnrJ/EryC1/StrS aminotransferase family	8.6e-95
AMXMAG_0088___2946	Pfam	PF01041.21	DegT/DnrJ/EryC1/StrS aminotransferase family	1.8e-06
AMXMAG_0088___2336	Pfam	PF01041.21	DegT/DnrJ/EryC1/StrS aminotransferase family	1.2e-05
AMXMAG_0088___2576	Pfam	PF01791.13	DeoC/LacD family aldolase	7.5e-64
AMXMAG_0088___2325	Pfam	PF01791.13	DeoC/LacD family aldolase	1.6e-22
AMXMAG_0088___3014	Pfam	PF00701.26	Dihydrodipicolinate synthetase family	1.3e-89
AMXMAG_0088___3307	Pfam	PF01368.24	DHH family	1.9e-13
AMXMAG_0088___3307	Pfam	PF02272.23	DHHA1 domain	1.2e-07
AMXMAG_0088___2501	Pfam	PF10418.13	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	1.7e-12
AMXMAG_0088___3064	Pfam	PF10418.13	Iron-sulfur cluster binding domain of dihydroorotate dehydrogenase B	1.6e-09
AMXMAG_0088___3065	Pfam	PF01180.25	Dihydroorotate dehydrogenase	8.1e-73
AMXMAG_0088___2972	Pfam	PF01761.24	3-dehydroquinate synthase	9.1e-75
AMXMAG_0088___2880	Pfam	PF05163.16	DinB family	1.2e-10
AMXMAG_0088___2880	Pfam	PF12867.11	DinB superfamily	2.6e-14
AMXMAG_0088___2589	Pfam	PF01738.22	Dienelactone hydrolase family	3.1e-09
AMXMAG_0088___2551	Pfam	PF11638.12	DnaA N-terminal domain	4.4e-10
AMXMAG_0088___2987	Pfam	PF00772.25	DnaB-like helicase N terminal domain	1.4e-28
AMXMAG_0088___2987	Pfam	PF03796.19	DnaB-like helicase C terminal domain	8.3e-98
AMXMAG_0088___2983	Pfam	PF03796.19	DnaB-like helicase C terminal domain	1.8e-10
AMXMAG_0088___2841	Pfam	PF00226.35	DnaJ domain	1.1e-19
AMXMAG_0088___2855	Pfam	PF08713.15	DNA alkylation repair enzyme	1.6e-52
AMXMAG_0088___3313	Pfam	PF00204.29	DNA gyrase B	6.6e-47
AMXMAG_0088___3313	Pfam	PF00986.25	DNA gyrase B subunit, carboxyl terminus	2.7e-21
AMXMAG_0088___3293	Pfam	PF01119.23	DNA mismatch repair protein, C-terminal domain	3.7e-25
AMXMAG_0088___3315	Pfam	PF00930.25	Dipeptidyl peptidase IV (DPP IV) N-terminal region	6.7e-18
AMXMAG_0088___2341	Pfam	PF00930.25	Dipeptidyl peptidase IV (DPP IV) N-terminal region	9.6e-09
AMXMAG_0088___2692	Pfam	PF00930.25	Dipeptidyl peptidase IV (DPP IV) N-terminal region	1.1e-08
AMXMAG_0088___3009	Pfam	PF02683.19	Cytochrome C biogenesis protein transmembrane region	1.6e-29
AMXMAG_0088___3009	Pfam	PF13386.10	Cytochrome C biogenesis protein transmembrane region 	2.9e-10
AMXMAG_0088___3009	Pfam	PF11412.12	Thiol:disulfide interchange protein DsbD, N-terminal	1.1e-09
AMXMAG_0088___3010	Pfam	PF00035.30	Double-stranded RNA binding motif	1.3e-17
AMXMAG_0088___3031	Pfam	PF06267.16	Family of unknown function (DUF1028)	4.6e-64
AMXMAG_0088___3431	Pfam	PF06342.16	Alpha/beta hydrolase of unknown function (DUF1057)	2.5e-11
AMXMAG_0088___3143	Pfam	PF06940.15	Domain of unknown function (DUF1287)	5.6e-67
AMXMAG_0088___3047	Pfam	PF06966.16	Protein of unknown function (DUF1295)	8.1e-10
AMXMAG_0088___3045	Pfam	PF07045.15	Domain of unknown function (DUF1330)	5.4e-33
AMXMAG_0088___2420	Pfam	PF07920.15	Protein of unknown function (DUF1684)	1.9e-43
AMXMAG_0088___2731	Pfam	PF08338.15	Domain of unknown function (DUF1731)	3e-20
AMXMAG_0088___3294	Pfam	PF08551.14	Eukaryotic integral membrane protein (DUF1751)	8.2e-07
AMXMAG_0088___3102	Pfam	PF08899.15	Domain of unknown function (DUF1844)	2.2e-14
AMXMAG_0088___3211	Pfam	PF08984.15	Domain of unknown function (DUF1858)	1.4e-18
AMXMAG_0088___2923	Pfam	PF02639.18	Uncharacterized BCR, YaiI/YqxD family COG1671	2.1e-48
AMXMAG_0088___3204	Pfam	PF02641.19	Uncharacterized ACR, COG1993	7.6e-39
AMXMAG_0088___3046	Pfam	PF02656.19	Domain of unknown function (DUF202)	5.4e-16
AMXMAG_0088___2366	Pfam	PF09835.13	Uncharacterized protein conserved in bacteria (DUF2062)	2.2e-26
AMXMAG_0088___2614	Pfam	PF09865.13	Predicted periplasmic protein (DUF2092)	1.2e-50
AMXMAG_0088___3287	Pfam	PF02698.21	DUF218 domain	2.4e-30
AMXMAG_0088___2439	Pfam	PF09991.13	Predicted membrane protein (DUF2232)	1.6e-13
AMXMAG_0088___2579	Pfam	PF10387.13	Protein of unknown function (DUF2442)	2.3e-17
AMXMAG_0088___2315	Pfam	PF11398.12	Protein of unknown function (DUF2813)	8.4e-60
AMXMAG_0088___2490	Pfam	PF11138.12	Protein of unknown function (DUF2911)	4.9e-40
AMXMAG_0088___3463	Pfam	PF11848.12	Domain of unknown function (DUF3368)	6.7e-13
AMXMAG_0088___3360	Pfam	PF11959.12	Domain of unknown function (DUF3473)	4.6e-30
AMXMAG_0088___2569	Pfam	PF03994.18	Domain of Unknown Function (DUF350) 	1.7e-13
AMXMAG_0088___3195	Pfam	PF12158.12	Protein of unknown function (DUF3592)	8.2e-19
AMXMAG_0088___3333	Pfam	PF12419.12	SNF2 Helicase protein 	6.1e-36
AMXMAG_0088___2642	Pfam	PF13349.10	Putative adhesin	2.2e-16
AMXMAG_0088___2403	Pfam	PF13349.10	Putative adhesin	3.4e-09
AMXMAG_0088___3420	Pfam	PF13548.10	Domain of unknown function (DUF4126)	1e-37
AMXMAG_0088___2898	Pfam	PF13559.10	Domain of unknown function (DUF4129)	7.3e-09
AMXMAG_0088___2762	Pfam	PF13567.10	Domain of unknown function (DUF4131)	1.6e-11
AMXMAG_0088___3037	Pfam	PF13635.10	Domain of unknown function (DUF4143)	1.8e-28
AMXMAG_0088___3375	Pfam	PF13635.10	Domain of unknown function (DUF4143)	1e-18
AMXMAG_0088___3251	Pfam	PF13698.10	Domain of unknown function (DUF4156)	5.3e-09
AMXMAG_0088___2580	Pfam	PF13711.10	Domain of unknown function (DUF4160)	2.8e-10
AMXMAG_0088___2717	Pfam	PF13732.10	Domain of unknown function (DUF4162)	1.7e-08
AMXMAG_0088___2571	Pfam	PF13785.10	Domain of unknown function (DUF4178)	6.7e-32
AMXMAG_0088___2635	Pfam	PF14229.10	Domain of unknown function (DUF4332)	5.2e-40
AMXMAG_0088___2457	Pfam	PF14238.10	Domain of unknown function (DUF4340)	2.8e-27
AMXMAG_0088___2458	Pfam	PF14258.10	Domain of unknown function (DUF4350)	3.5e-10
AMXMAG_0088___3212	Pfam	PF04282.17	Family of unknown function (DUF438)	2.5e-23
AMXMAG_0088___2351	Pfam	PF14332.10	Domain of unknown function (DUF4388)	3e-30
AMXMAG_0088___3104	Pfam	PF14332.10	Domain of unknown function (DUF4388)	2.2e-29
AMXMAG_0088___3251	Pfam	PF14534.10	Domain of unknown function (DUF4440)	2.2e-15
AMXMAG_0088___3144	Pfam	PF14534.10	Domain of unknown function (DUF4440)	3.8e-13
AMXMAG_0088___2480	Pfam	PF14534.10	Domain of unknown function (DUF4440)	5.3e-10
AMXMAG_0088___2658	Pfam	PF14539.10	Domain of unknown function (DUF4442)	8e-40
AMXMAG_0088___2784	Pfam	PF04325.17	Protein of unknown function (DUF465)	4.8e-07
AMXMAG_0088___2742	Pfam	PF16401.9	Domain of unknown function (DUF5009)	1.2e-07
AMXMAG_0088___2793	Pfam	PF04367.17	Protein of unknown function (DUF502)	8.8e-28
AMXMAG_0088___3305	Pfam	PF04456.16	Protein of unknown function (DUF503)	1.1e-23
AMXMAG_0088___2887	Pfam	PF04461.17	Protein of unknown function (DUF520)	2.8e-68
AMXMAG_0088___2434	Pfam	PF18914.4	Domain of unknown function (DUF5666)	8.7e-34
AMXMAG_0088___3296	Pfam	PF18917.4	Domain of unknown function (DUF5668)	7.9e-08
AMXMAG_0088___2513	Pfam	PF19027.4	Family of unknown function (DUF5752)	2.3e-06
AMXMAG_0088___2897	Pfam	PF01882.22	Protein of unknown function DUF58	9.4e-19
AMXMAG_0088___3162	Pfam	PF19313.3	Domain of unknown function (DUF5916)	5.5e-19
AMXMAG_0088___3260	Pfam	PF19313.3	Domain of unknown function (DUF5916)	1.8e-16
AMXMAG_0088___2705	Pfam	PF19502.3	Nucleotidyltransferase of unknown function (DUF6036)	9.2e-12
AMXMAG_0088___2481	Pfam	PF19780.3	Domain of unknown function (DUF6265)	4.9e-28
AMXMAG_0088___2613	Pfam	PF20125.3	Family of unknown function (DUF6515)	7.2e-26
AMXMAG_0088___2506	Pfam	PF20148.3	Domain of unknown function (DUF6531)	3.7e-09
AMXMAG_0088___2749	Pfam	PF20148.3	Domain of unknown function (DUF6531)	3.4e-08
AMXMAG_0088___2409	Pfam	PF20586.2	Family of unknown function (DUF6788)	1.8e-21
AMXMAG_0088___3416	Pfam	PF05114.17	Protein of unknown function (DUF692)	1.1e-29
AMXMAG_0088___2922	Pfam	PF01935.21	Helicase HerA, central domain	7.8e-07
AMXMAG_0088___3453	Pfam	PF05960.15	Bacterial protein of unknown function (DUF885)	1.9e-131
AMXMAG_0088___2693	Pfam	PF06037.15	Bacterial protein of unknown function (DUF922)	1e-05
AMXMAG_0088___2492	Pfam	PF01949.20	Protein of unknown function DUF99	5.4e-58
AMXMAG_0088___3065	Pfam	PF01207.21	Dihydrouridine synthase (Dus)	3.2e-08
AMXMAG_0088___3033	Pfam	PF13292.10	1-deoxy-D-xylulose-5-phosphate synthase	2.8e-07
AMXMAG_0088___3060	Pfam	PF13292.10	1-deoxy-D-xylulose-5-phosphate synthase	8.1e-07
AMXMAG_0088___2639	Pfam	PF00122.24	E1-E2 ATPase	1.3e-56
AMXMAG_0088___2472	Pfam	PF00122.24	E1-E2 ATPase	2.8e-50
AMXMAG_0088___3033	Pfam	PF00676.24	Dehydrogenase E1 component	8.8e-71
AMXMAG_0088___3060	Pfam	PF00676.24	Dehydrogenase E1 component	1.8e-63
AMXMAG_0088___2999	Pfam	PF00676.24	Dehydrogenase E1 component	2.2e-55
AMXMAG_0088___3401	Pfam	PF00563.24	EAL domain	8.3e-68
AMXMAG_0088___2937	Pfam	PF00563.24	EAL domain	6.4e-52
AMXMAG_0088___3400	Pfam	PF00563.24	EAL domain	5.5e-48
AMXMAG_0088___3412	Pfam	PF00563.24	EAL domain	7.9e-42
AMXMAG_0088___2432	Pfam	PF00892.24	EamA-like transporter family	2.1e-41
AMXMAG_0088___2478	Pfam	PF00892.24	EamA-like transporter family	5.4e-34
AMXMAG_0088___2715	Pfam	PF00892.24	EamA-like transporter family	9.2e-29
AMXMAG_0088___3232	Pfam	PF00892.24	EamA-like transporter family	1.4e-28
AMXMAG_0088___2772	Pfam	PF00378.24	Enoyl-CoA hydratase/isomerase	2.4e-56
AMXMAG_0088___3263	Pfam	PF00378.24	Enoyl-CoA hydratase/isomerase	3.7e-30
AMXMAG_0088___2772	Pfam	PF16113.9	Enoyl-CoA hydratase/isomerase	9.5e-34
AMXMAG_0088___3263	Pfam	PF16113.9	Enoyl-CoA hydratase/isomerase	5.7e-20
AMXMAG_0088___3300	Pfam	PF00679.28	Elongation factor G C-terminus	1.5e-26
AMXMAG_0088___3072	Pfam	PF00679.28	Elongation factor G C-terminus	2.5e-20
AMXMAG_0088___3072	Pfam	PF14492.10	Elongation Factor G, domain III	1.8e-08
AMXMAG_0088___3447	Pfam	PF00208.25	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase	5.7e-13
AMXMAG_0088___3447	Pfam	PF02812.22	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	1.6e-07
AMXMAG_0088___3339	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	9.7e-64
AMXMAG_0088___2354	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	7.1e-58
AMXMAG_0088___2900	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	1.3e-32
AMXMAG_0088___3336	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	1.5e-32
AMXMAG_0088___3365	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	7.8e-26
AMXMAG_0088___2731	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	2.4e-22
AMXMAG_0088___2313	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	2.5e-22
AMXMAG_0088___3138	Pfam	PF01370.25	NAD dependent epimerase/dehydratase family	9.2e-12
AMXMAG_0088___2386	Pfam	PF00756.24	Putative esterase	9.3e-19
AMXMAG_0088___2589	Pfam	PF10503.13	Esterase PHB depolymerase	4.3e-07
AMXMAG_0088___2322	Pfam	PF03319.17	Ethanolamine utilisation protein EutN/carboxysome	5.6e-32
AMXMAG_0088___2318	Pfam	PF03319.17	Ethanolamine utilisation protein EutN/carboxysome	1.7e-22
AMXMAG_0088___2319	Pfam	PF03319.17	Ethanolamine utilisation protein EutN/carboxysome	1.3e-18
AMXMAG_0088___2961	Pfam	PF02472.20	Biopolymer transport protein ExbD/TolR	1.4e-28
AMXMAG_0088___2962	Pfam	PF02472.20	Biopolymer transport protein ExbD/TolR	3.1e-25
AMXMAG_0088___2736	Pfam	PF06055.16	Exopolysaccharide synthesis, ExoD	1e-40
AMXMAG_0088___3194	Pfam	PF06055.16	Exopolysaccharide synthesis, ExoD	1.8e-31
AMXMAG_0088___2604	Pfam	PF03807.21	NADP oxidoreductase coenzyme F420-dependent	9.4e-11
AMXMAG_0088___2795	Pfam	PF02913.23	FAD linked oxidases, C-terminal domain	7e-59
AMXMAG_0088___2505	Pfam	PF00890.28	FAD binding domain	1.7e-08
AMXMAG_0088___2421	Pfam	PF00890.28	FAD binding domain	2.5e-07
AMXMAG_0088___2909	Pfam	PF00890.28	FAD binding domain	2.4e-06
AMXMAG_0088___3088	Pfam	PF00890.28	FAD binding domain	5.8e-06
AMXMAG_0088___2909	Pfam	PF01494.23	FAD binding domain	2.8e-06
AMXMAG_0088___3088	Pfam	PF01494.23	FAD binding domain	3.9e-06
AMXMAG_0088___2795	Pfam	PF01565.27	FAD binding domain 	5.7e-33
AMXMAG_0088___2894	Pfam	PF01565.27	FAD binding domain 	2.1e-19
AMXMAG_0088___2728	Pfam	PF00941.25	FAD binding domain in molybdopterin dehydrogenase	5.5e-35
AMXMAG_0088___2501	Pfam	PF00970.28	Oxidoreductase FAD-binding domain	9.8e-07
AMXMAG_0088___2505	Pfam	PF12831.11	FAD dependent oxidoreductase	1.4e-10
AMXMAG_0088___2344	Pfam	PF06574.16	FAD synthetase	4.9e-49
AMXMAG_0088___2919	Pfam	PF02469.26	Fasciclin domain	4.5e-38
AMXMAG_0088___3058	Pfam	PF00487.28	Fatty acid desaturase	1.2e-32
AMXMAG_0088___2680	Pfam	PF02504.19	Fatty acid synthesis protein	1.4e-101
AMXMAG_0088___3167	Pfam	PF07729.16	FCD domain	1.2e-27
AMXMAG_0088___2624	Pfam	PF02634.19	FdhD/NarQ family	8.6e-63
AMXMAG_0088___3423	Pfam	PF00465.23	Iron-containing alcohol dehydrogenase 	7e-115
AMXMAG_0088___2972	Pfam	PF00465.23	Iron-containing alcohol dehydrogenase 	1.2e-07
AMXMAG_0088___3423	Pfam	PF13685.10	Iron-containing alcohol dehydrogenase	1.4e-19
AMXMAG_0088___2972	Pfam	PF13685.10	Iron-containing alcohol dehydrogenase	3.7e-09
AMXMAG_0088___3363	Pfam	PF02388.20	FemAB family	6.3e-08
AMXMAG_0088___3135	Pfam	PF04023.18	FeoA domain	2.5e-16
AMXMAG_0088___3136	Pfam	PF07664.16	Ferrous iron transport protein B C terminus	3.6e-19
AMXMAG_0088___3136	Pfam	PF02421.22	Ferrous iron transport protein B	1.1e-49
AMXMAG_0088___3092	Pfam	PF02421.22	Ferrous iron transport protein B	2.2e-09
AMXMAG_0088___2595	Pfam	PF02421.22	Ferrous iron transport protein B	6.1e-09
AMXMAG_0088___2394	Pfam	PF02421.22	Ferrous iron transport protein B	1.1e-07
AMXMAG_0088___2729	Pfam	PF00111.31	2Fe-2S iron-sulfur cluster binding domain	5.6e-10
AMXMAG_0088___2729	Pfam	PF01799.24	[2Fe-2S] binding domain	3.6e-32
AMXMAG_0088___3006	Pfam	PF04324.19	BFD-like [2Fe-2S] binding domain	1.8e-12
AMXMAG_0088___3229	Pfam	PF00037.31	4Fe-4S binding domain	3.2e-16
AMXMAG_0088___2791	Pfam	PF00037.31	4Fe-4S binding domain	1e-12
AMXMAG_0088___3003	Pfam	PF00037.31	4Fe-4S binding domain	1.1e-12
AMXMAG_0088___2909	Pfam	PF00037.31	4Fe-4S binding domain	1.4e-11
AMXMAG_0088___2632	Pfam	PF00037.31	4Fe-4S binding domain	1.5e-11
AMXMAG_0088___2621	Pfam	PF00037.31	4Fe-4S binding domain	4.4e-11
AMXMAG_0088___2502	Pfam	PF00037.31	4Fe-4S binding domain	1.6e-10
AMXMAG_0088___2505	Pfam	PF00037.31	4Fe-4S binding domain	9.7e-09
AMXMAG_0088___2503	Pfam	PF00037.31	4Fe-4S binding domain	2.5e-06
AMXMAG_0088___2862	Pfam	PF00037.31	4Fe-4S binding domain	4.9e-06
AMXMAG_0088___2795	Pfam	PF00037.31	4Fe-4S binding domain	9.2e-06
AMXMAG_0088___2621	Pfam	PF13237.10	4Fe-4S dicluster domain	3.7e-13
AMXMAG_0088___3229	Pfam	PF13237.10	4Fe-4S dicluster domain	9.7e-12
AMXMAG_0088___2862	Pfam	PF13237.10	4Fe-4S dicluster domain	2.1e-10
AMXMAG_0088___2632	Pfam	PF13237.10	4Fe-4S dicluster domain	9.2e-10
AMXMAG_0088___2791	Pfam	PF13237.10	4Fe-4S dicluster domain	2.8e-09
AMXMAG_0088___2909	Pfam	PF13237.10	4Fe-4S dicluster domain	3.7e-09
AMXMAG_0088___2505	Pfam	PF13237.10	4Fe-4S dicluster domain	1.8e-08
AMXMAG_0088___2795	Pfam	PF13237.10	4Fe-4S dicluster domain	1.7e-07
AMXMAG_0088___3003	Pfam	PF13237.10	4Fe-4S dicluster domain	2.2e-07
AMXMAG_0088___2502	Pfam	PF13237.10	4Fe-4S dicluster domain	2.5e-07
AMXMAG_0088___2862	Pfam	PF13247.10	4Fe-4S dicluster domain	8.1e-37
AMXMAG_0088___3229	Pfam	PF13247.10	4Fe-4S dicluster domain	1.1e-30
AMXMAG_0088___2621	Pfam	PF13247.10	4Fe-4S dicluster domain	3.5e-13
AMXMAG_0088___2867	Pfam	PF13247.10	4Fe-4S dicluster domain	2.8e-12
AMXMAG_0088___2452	Pfam	PF13370.10	4Fe-4S single cluster domain of Ferredoxin I	9.3e-23
AMXMAG_0088___2452	Pfam	PF13459.10	4Fe-4S single cluster domain	4.1e-08
AMXMAG_0088___3003	Pfam	PF13484.10	4Fe-4S double cluster binding domain	1.4e-08
AMXMAG_0088___3229	Pfam	PF13484.10	4Fe-4S double cluster binding domain	2.3e-08
AMXMAG_0088___2795	Pfam	PF13534.10	4Fe-4S dicluster domain	5.3e-10
AMXMAG_0088___2503	Pfam	PF13534.10	4Fe-4S dicluster domain	4.5e-08
AMXMAG_0088___3003	Pfam	PF13534.10	4Fe-4S dicluster domain	2.2e-07
AMXMAG_0088___3229	Pfam	PF13534.10	4Fe-4S dicluster domain	3.8e-06
AMXMAG_0088___2632	Pfam	PF12797.11	4Fe-4S binding domain	2.9e-12
AMXMAG_0088___3229	Pfam	PF12797.11	4Fe-4S binding domain	1.2e-11
AMXMAG_0088___2621	Pfam	PF12797.11	4Fe-4S binding domain	4.8e-11
AMXMAG_0088___2791	Pfam	PF12797.11	4Fe-4S binding domain	2.4e-10
AMXMAG_0088___3003	Pfam	PF12797.11	4Fe-4S binding domain	2.6e-09
AMXMAG_0088___2909	Pfam	PF12797.11	4Fe-4S binding domain	8e-08
AMXMAG_0088___2502	Pfam	PF12797.11	4Fe-4S binding domain	6.7e-07
AMXMAG_0088___2503	Pfam	PF12797.11	4Fe-4S binding domain	6.8e-07
AMXMAG_0088___2909	Pfam	PF14691.10	Dihydroprymidine dehydrogenase domain II, 4Fe-4S cluster	1.7e-17
AMXMAG_0088___2621	Pfam	PF14697.10	4Fe-4S dicluster domain	1.7e-10
AMXMAG_0088___2502	Pfam	PF17179.8	4Fe-4S dicluster domain	5e-31
AMXMAG_0088___3229	Pfam	PF12798.11	4Fe-4S binding domain	3.2e-09
AMXMAG_0088___2632	Pfam	PF12800.11	4Fe-4S binding domain	2.6e-07
AMXMAG_0088___3003	Pfam	PF12800.11	4Fe-4S binding domain	2.8e-07
AMXMAG_0088___3229	Pfam	PF12800.11	4Fe-4S binding domain	3.9e-07
AMXMAG_0088___3229	Pfam	PF12837.11	4Fe-4S binding domain	5.2e-14
AMXMAG_0088___2621	Pfam	PF12837.11	4Fe-4S binding domain	4.2e-13
AMXMAG_0088___2505	Pfam	PF12837.11	4Fe-4S binding domain	6.9e-12
AMXMAG_0088___2632	Pfam	PF12837.11	4Fe-4S binding domain	3e-09
AMXMAG_0088___2791	Pfam	PF12837.11	4Fe-4S binding domain	8.1e-09
AMXMAG_0088___3003	Pfam	PF12837.11	4Fe-4S binding domain	6.2e-08
AMXMAG_0088___3229	Pfam	PF12838.11	4Fe-4S dicluster domain	5.5e-17
AMXMAG_0088___2867	Pfam	PF12838.11	4Fe-4S dicluster domain	4.6e-13
AMXMAG_0088___2621	Pfam	PF12838.11	4Fe-4S dicluster domain	6.3e-13
AMXMAG_0088___2505	Pfam	PF12838.11	4Fe-4S dicluster domain	3.1e-12
AMXMAG_0088___2632	Pfam	PF12838.11	4Fe-4S dicluster domain	2.2e-11
AMXMAG_0088___2909	Pfam	PF12838.11	4Fe-4S dicluster domain	1.3e-10
AMXMAG_0088___3003	Pfam	PF12838.11	4Fe-4S dicluster domain	5.5e-10
AMXMAG_0088___2862	Pfam	PF12838.11	4Fe-4S dicluster domain	8.8e-10
AMXMAG_0088___2791	Pfam	PF12838.11	4Fe-4S dicluster domain	9.8e-10
AMXMAG_0088___2795	Pfam	PF12838.11	4Fe-4S dicluster domain	1.1e-08
AMXMAG_0088___2795	Pfam	PF13183.10	4Fe-4S dicluster domain	3.8e-11
AMXMAG_0088___3003	Pfam	PF13183.10	4Fe-4S dicluster domain	3.3e-09
AMXMAG_0088___2867	Pfam	PF13183.10	4Fe-4S dicluster domain	1.3e-07
AMXMAG_0088___3229	Pfam	PF13187.10	4Fe-4S dicluster domain	1.8e-15
AMXMAG_0088___2621	Pfam	PF13187.10	4Fe-4S dicluster domain	4e-13
AMXMAG_0088___3003	Pfam	PF13187.10	4Fe-4S dicluster domain	8.6e-11
AMXMAG_0088___2791	Pfam	PF13187.10	4Fe-4S dicluster domain	1.1e-09
AMXMAG_0088___3421	Pfam	PF00142.22	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family	6.3e-07
AMXMAG_0088___3331	Pfam	PF00210.28	Ferritin-like domain	3.2e-40
AMXMAG_0088___2586	Pfam	PF04060.17	Putative Fe-S cluster	2.5e-08
AMXMAG_0088___3167	Pfam	PF01325.23	Iron dependent repressor, N-terminal DNA binding domain	3.8e-08
AMXMAG_0088___3218	Pfam	PF03781.20	Sulfatase-modifying factor enzyme 1	1.4e-61
AMXMAG_0088___2754	Pfam	PF03781.20	Sulfatase-modifying factor enzyme 1	6.9e-34
AMXMAG_0088___2531	Pfam	PF02782.20	FGGY family of carbohydrate kinases, C-terminal domain	3.1e-48
AMXMAG_0088___2531	Pfam	PF00370.25	FGGY family of carbohydrate kinases, N-terminal domain	1.8e-80
AMXMAG_0088___3255	Pfam	PF00498.30	FHA domain	1.8e-15
AMXMAG_0088___3028	Pfam	PF00498.30	FHA domain	6.4e-13
AMXMAG_0088___3024	Pfam	PF00498.30	FHA domain	1.7e-12
AMXMAG_0088___3128	Pfam	PF00498.30	FHA domain	1.7e-08
AMXMAG_0088___2912	Pfam	PF02433.19	Cytochrome C oxidase, mono-heme subunit/FixO	2e-08
AMXMAG_0088___3134	Pfam	PF00254.32	FKBP-type peptidyl-prolyl cis-trans isomerase	2e-34
AMXMAG_0088___3134	Pfam	PF01346.22	Domain amino terminal to FKBP-type peptidyl-prolyl isomerase	6.4e-12
AMXMAG_0088___2344	Pfam	PF01687.21	Riboflavin kinase	8.7e-39
AMXMAG_0088___3254	Pfam	PF17680.5	FlgO protein	2e-06
AMXMAG_0088___2752	Pfam	PF18998.4	Divergent InlB B-repeat domain	2.3e-09
AMXMAG_0088___2504	Pfam	PF02662.20	Methyl-viologen-reducing hydrogenase, delta subunit	1.1e-51
